name,input_path,ligand_code,formula_weight,heavy_atoms,hetero_atoms,elements,formula,ccd_name,weight_bin
ccd_60r,./data/rfd3/ccd_ligands/structures/60R.cif,60R,373.376,28,5,"C,F,H,N,O",C23 H16 F N O3,"6-[(~{E})-(3-fluoranyl-6~{H}-benzo[c][1]benzoxepin-11-ylidene)methyl]-4~{H}-1,4-benzoxazin-3-one",3
ccd_qce,./data/rfd3/ccd_ligands/structures/QCE.cif,QCE,377.287,25,12,"C,H,N,O,P",C13 H20 N3 O8 P,N3-(N-(1-amino-4-methyl-1-oxopentan-2-yl)-2-amino-2-oxo-ethyl)-2'-deoxythymidine,3
ccd_qlp,./data/rfd3/ccd_ligands/structures/QLP.cif,QLP,377.287,25,12,"C,H,N,O,P",C13 H20 N3 O8 P,N~2~-({3-HYDROXY-2-METHYL-5-[(PHOSPHONOOXY)METHYL]PYRIDIN-4-YL}METHYL)-L-GLUTAMINE,3
ccd_zp0,./data/rfd3/ccd_ligands/structures/ZP0.cif,ZP0,377.435,27,8,"C,H,N,O",C19 H27 N3 O5,"N-{[(2S)-5,5-dimethyl-1,4-dioxan-2-yl]methyl}-4-(3-hydroxybenzoyl)piperazine-1-carboxamide",3
ccd_0we,./data/rfd3/ccd_ligands/structures/0WE.cif,0WE,377.436,28,6,"C,H,N,O",C22 H23 N3 O3,"N-methyl-N-[(3-methyl-1-benzofuran-2-yl)methyl]-3-(7-oxo-5,6,7,8-tetrahydro-1,8-naphthyridin-3-yl)propanamide",3
ccd_2nk,./data/rfd3/ccd_ligands/structures/2NK.cif,2NK,381.418,28,6,"C,F,H,N,O",C22 H21 F2 N3 O,"2,6-difluoro-4-{4-[4-(4-methylpiperazin-1-yl)phenyl]pyridin-3-yl}phenol",3
ccd_gh2,./data/rfd3/ccd_ligands/structures/GH2.cif,GH2,386.389,26,9,"C,F,H,N,O,S",C17 H17 F3 N2 O3 S,"ethyl 2-[4-[4-[3,3,3-tris(fluoranyl)propylcarbamoyl]phenyl]-1,3-thiazol-2-yl]ethanoate",3
ccd_a1f,./data/rfd3/ccd_ligands/structures/A1F.cif,A1F,390.472,27,7,"C,F,H,N,O,S",C20 H23 F N2 O3 S,"1-(2-fluoro-4-methylphenyl)-N-(2-oxo-1-propyl-1,2,3,4-tetrahydroquinolin-6-yl)methanesulfonamide",3
ccd_7wt,./data/rfd3/ccd_ligands/structures/7WT.cif,7WT,390.513,28,5,"C,H,O",C23 H34 O5,"Z-7-[(1R,2R,3R,5S)-3,5-bis(oxidanyl)-2-[(3R)-3-oxidanyl-5-phenyl-pentyl]cyclopentyl]hept-5-enoic acid",3
ccd_wqp,./data/rfd3/ccd_ligands/structures/WQP.cif,WQP,391.266,25,14,"C,H,N,O,P",C11 H22 N O12 P,"5-(ACETYLAMINO)-3,5-DIDEOXY-2-O-PHOSPHONO-D-ERYTHRO-L-MANNO-NONONIC ACID",3
ccd_9zx,./data/rfd3/ccd_ligands/structures/9ZX.cif,9ZX,393.475,29,5,"C,H,N,O",C24 H27 N O4,4-methyl-3-(morpholin-4-ylmethyl)-7-[(2~{S})-2-phenylpropoxy]chromen-2-one,3
